买方客户,得分
999800034393SR,42
999800037905CF,43.8
999800034714SR,60
999800037235SR,42
999800012384SR,24
999800010183SR,60
999800030478CF,39.6
999800001180SR,42
999800027235SR,60
999800027488SR,24
999800031017SR,42
999800020268SR,60
999800000031SR,42
999800015033SR,60
999800038084SR,54
999800043510SR,24
999800005252SR,24
999800036754SR,54
999800019494SR,60
999800020348SR,60
999800010258SR,60
999800010691CF,43.8
999800020573SR,42
999800003895SR,48
999800019953SR,24
999800042456SR,24
999800046301SR,60
999800038440SR,60
999800026511SR,36
999800010693SR,42
999800019862SR,60
999800043289SR,54
999800038275SR,54
999800036154SR,60
999800024637SR,42
999800048679CF,36
999800026102SR,60
999800027029SR,60
999800007354SR,60
999800020634SR,60
999800044305CF,55.8
999800019282SR,36
999800026961SR,60
999800015838SR,60
999800040084SR,60
999800011696SR,54
999800026736SR,60
999800025550SR,24
999800014419SR,42
999800020071SR,54
999800005286SR,42
999800035035SR,48
999800028912SR,60
999800013665SR,60
999800017407SR,24
999800033651SR,60
999800008941SR,54
999800007640SR,54
999800015537SR,54
999800045005CF,52.2
999800032452SR,54
999800004228SR,60
999800036202SR,60
999800012720SR,24
999800008072SR,60
999800044171SR,60
999800038311SR,60
999800011289SR,42
999800039505SR,48
999800011774SR,60
999800045752SR,42
999800019781SR,60
999800032609SR,60
999800048638SR,60
999800045145SR,60
999800026211SR,54
999800024381SR,30
999800012926SR,60
999800026186SR,60
999800007713SR,60
999800019960SR,36
999800005860SR,60
999800027242SR,36
999800004650SR,54
999800045471SR,60
999800043210SR,60
999800031314SR,60
999800024909CF,40.2
999800025015SR,42
999800044897CF,55.8
999800028127SR,60
999800027175SR,60
999800031087SR,42
999800018818SR,60
999800038961SR,60
999800007412SR,60
999800013000SR,42
999800037467SR,60
999800030082SR,60
999800007649SR,60
999800015502SR,60
999800033277SR,60
999800040801SR,60
999800035290SR,54
999800010245SR,60
999800004758SR,60
999800004810SR,60
999800038979SR,60
999800017833SR,60
999800030745SR,60
999800028185SR,60
999800018457SR,36
999800014211CF,36
999800029305SR,60
999800005800SR,60
999800019261SR,60
999800035275SR,54
999800043936SR,60
999800019214SR,60
999800023804SR,60
999800045004SR,60
999800048774SR,60
999800020426SR,60
999800047998SR,60
999800026909CF,55.8
999800032500SR,60
999800036900SR,60
999800008749SR,60
999800021971SR,60
999800003651SR,60
999800047861SR,60
999800022615SR,36
999800007385SR,36
999800018876SR,60
999800022202SR,24
999800014155SR,24
999800036125SR,60
999800014610SR,36
999800021159SR,60
999800031804SR,54
999800034735SR,42
999800035789SR,60
999800007987SR,60
999800048222SR,60
999800002158SR,60
999800046600SR,60
999800033641SR,60
999800046440SR,54
999800026246SR,60
999800044714SR,60
999800019138SR,60
999800015179SR,54
999800026725SR,36
999800041555SR,60
999800025274SR,60
999800014486SR,60
999800045270SR,42
999800013636SR,42
999800003756SR,60
999800024999SR,60
999800035845SR,60
999800005755SR,42
999800046407SR,36
999800024080CF,48
999800045579SR,36
999800030343SR,60
999800010746SR,18
999800041941SR,60
999800014062SR,60
999800005842CF,48
999800002600CF,19.8
999800017112SR,42
999800035104SR,60
999800018046SR,60
999800028334SR,42
999800002583SR,60
999800008161SR,60
999800012000SR,42
999800048347SR,60
999800021899SR,60
999800021271SR,60
999800043981SR,60
999800034102SR,60
999800015643SR,60
999800046557SR,60
999800018016CF,39.6
999800025188SR,60
999800045500SR,60
999800024826SR,60
999800006715CF,43.8
999800036069SR,60
999800045910SR,24
999800000344SR,60
999800023340SR,24
999800031012SR,60
999800033352SR,18
999800012819SR,60
999800029382SR,60
999800047091SR,42
999800028830SR,54
999800020867SR,36
999800038034SR,60
999800035153SR,60
999800018811SR,60
999800012616SR,54
999800035048SR,60
999800021752SR,60
999800036878SR,60
999800036000SR,54
999800005933SR,54
999800016148SR,36
999800045198CF,39.6
999800027103SR,60
999800034218SR,54
999800025268SR,60
999800026410SR,54
999800009801SR,54
999800006514SR,60
999800033765SR,54
999800038346SR,54
999800026868SR,42
999800017196SR,54
999800007996SR,54
999800032430SR,54
999800020038SR,60
999800001397SR,60
999800003111SR,60
999800035162SR,54
999800015617SR,60
999800019571SR,36
999800043499SR,54
999800025520SR,48
999800046172SR,60
999800036317SR,54
999800010374SR,60
999800019726SR,60
999800035567SR,54
999800017791SR,60
999800046311SR,54
999800012447SR,54
999800038221SR,54
999800003168SR,36
999800017851SR,54
999800016588SR,54
999800044954SR,60
999800018854SR,54
999800042407SR,54
999800043491SR,54
999800046711SR,54
999800012322SR,42
999800019201SR,60
999800029798SR,42
999800010980SR,42
999800029712SR,24
999800003988SR,60
999800020316SR,18
999800022367SR,42
999800032649SR,42
999800038375CF,36
999800009376SR,60
999800044323SR,42
999800036186CF,43.8
999800020981SR,24
999800041768SR,60
999800009034SR,42
999800004405SR,42
999800025099SR,60
999800032041SR,36
999800016563SR,60
999800009243SR,36
999800025121SR,42
999800037619SR,60
999800026528SR,54
999800012446SR,36
999800017656SR,60
999800010424SR,60
999800039368CF,52.2
999800008129SR,42
999800034167SR,42
999800005459SR,60
999800021144SR,60
999800027053CF,55.8
999800033443SR,36
999800041865SR,54
999800039558SR,36
999800028746CF,43.8
999800002930SR,24
999800019417SR,54
999800014377SR,60
999800015212SR,36
999800024134SR,60
999800033317SR,24
999800028199SR,60
999800012114SR,42
999800034365SR,60
999800037354SR,42
999800025777SR,24
999800014199SR,42
999800029053SR,60
999800044077SR,36
999800001229SR,36
999800000897SR,24
999800039435CF,55.8
999800002319SR,36
999800040168SR,54
999800010957SR,36
999800033913SR,60
999800040501SR,60
999800019314SR,42
999800009192SR,60
999800034150SR,42
999800024775SR,60
999800018715SR,60
999800011230SR,36
999800023908CF,36
999800033426SR,60
999800033871SR,60
999800011927SR,42
999800012966SR,60
999800032795SR,42
999800018417SR,60
999800029005CF,55.8
999800034727SR,60
999800025718SR,60
999800044705SR,36
999800019395SR,54
999800043559SR,60
999800016135SR,24
999800003295SR,54
999800036250CF,36
999800014223CF,43.8
999800002736SR,60
999800007198SR,54
999800031258SR,42
999800026467SR,54
999800020757SR,42
999800044224SR,42
999800025020SR,60
999800034470SR,42
999800043073SR,60
999800031303SR,60
999800036002SR,60
999800024160SR,60
999800035491SR,54
999800047405SR,48
999800037111SR,42
999800024809SR,42
999800010439SR,54
999800020404SR,60
999800009082SR,42
999800026049SR,42
999800006873CF,43.8
999800024459SR,60
999800034124SR,60
999800007760SR,60
999800027532SR,42
999800036699SR,60
999800016577SR,48
999800023311SR,42
999800003201SR,42
999800024332SR,36
999800012337SR,60
999800028548SR,36
999800037304SR,60
999800023942SR,60
999800005642SR,54
999800012639SR,60
999800044039SR,60
999800021770SR,60
999800047428SR,60
999800045062SR,60
999800030098SR,60
999800042028SR,60
999800021078SR,24
999800047074SR,24
999800037481SR,60
999800021625SR,18
999800023069SR,48
999800048797SR,60
999800013069SR,36
999800013659SR,60
999800015754SR,60
999800001506CF,48
999800028028SR,60
999800030409SR,60
999800030850SR,24
999800035272CF,36
999800023492SR,42
999800031716SR,54
999800002194SR,60
999800021758SR,60
999800003993SR,48
999800039244CF,52.2
999800040893SR,54
999800022504SR,60
999800044530SR,60
999800010907SR,60
999800006407SR,36
999800020488SR,54
999800029531SR,60
999800027102SR,60
999800009574CF,55.8
999800035004SR,42
999800024240CF,48
999800045555SR,36
999800010495SR,60
999800027162CF,52.2
999800014937SR,60
999800037280SR,54
999800041935CF,43.8
999800027161SR,60
999800001743SR,60
999800037657SR,60
999800027061SR,60
999800006401SR,60
999800011671SR,60
999800005687CF,31.8
999800004751SR,42
999800004696SR,42
999800025128SR,42
999800047599SR,60
999800048147SR,48
999800044316SR,60
999800029551SR,60
999800000321SR,42
999800048202SR,42
999800009735SR,54
999800008415SR,54
999800020862SR,60
999800001768SR,42
999800004827SR,60
999800005618SR,24
999800030533SR,24
999800046857SR,60
999800028771SR,36
999800015967SR,60
999800000695SR,60
999800039143SR,60
999800013917SR,0
999800014866SR,60
999800007241SR,42
999800041184SR,36
999800016614SR,54
999800036048SR,60
999800032748SR,60
999800020874SR,54
999800023818SR,54
999800018769SR,60
999800016028SR,60
999800047507SR,60
